Terminated Results Sample NCT #,Target Enrollment Sample (1=included; 0=excluded),Brief Title,Primary Purpose,Intervention Model,Blinding,Allocation,Intervention Type,Study Phase,Condition Category,Lead Sponsor Type,DMC (y/n) [Not available to the public - data removed],Single Site/Multiple Sites,Location Countries,Study Start Date,First Received Date,Primary Completion Date,Study Completion Date,Results First Received Date,Why Study Stopped,Why Study Stopped - Detailed Description Text (if any),Termination Category,Enrollment (Protocol),Enrollment (Protocol) Type,First Enrollment (Protocol),First Enrollment (Protocol) Type,Enrollment = n part started Part Flow (Column W=AC),"For adjudicated enrollment, which value was determined to be correct, E=protocol; F=participant flow",Total Number of Participants Started  Part Flow,ADJUDICATED N Participants Enrolled in Trial (use for all analyses),Max N participants Analyzed Any POM,# participants enrolled / first enrollment [Column AD/Y],SeriousAENAffected,SeriousAENAtRisk,"PUBMED LISTING INFO as of 31 Dec 2013 (0 = no, 1 = yes)",PMID as of 31 Dec 2013,"Termination Categories [Column V] 
"
NCT00545298,1,Safety and Efficacy of Gaseous Nitric Oxide on Venous Stasis Leg Ulcers,Treatment,Parallel Assignment,Open Label,Randomized,Drug|Drug,Phase 2,Heart and Blood Diseases|Skin and Connective Tissue Diseases|All Conditions|Symptoms and General Pathology,INDUSTRY,,Single,United States,7-Oct,16-Oct-07,8-Nov,8-Nov,8-Aug-12,Strategic direction of the sponsor changed,,8,4,Actual,30,Anticipated,TRUE,,4,4,4,0.13,0,4,0,,2 - No Scientific Data
NCT00545506,1,The Influence of a Warmed Surgical Bandage System on Subcutaneous Tissue Oxygen Tension After Cardiac Surgery,Basic Science,Parallel Assignment,Double Blind,Randomized,Device|Device,Phase 3,Bacterial and Fungal Diseases|Wounds and Injuries|All Conditions,OTHER,,Single,Austria,7-Nov,16-Oct-07,9-Nov,9-Nov,22-Jul-10,lack of eligible patients,,2,3,Actual,40,Anticipated,FALSE,F,6,6,0,0.15,0,0,0,,2 - No Scientific Data
NCT00545662,1,Study of Citicoline for the Treatment of Traumatic Brain Injury (COBRIT),Treatment,Parallel Assignment,Double Blind,Randomized,Drug|Drug,Phase 3,Nervous System Diseases|Wounds and Injuries|All Conditions,NIH,,Multiple,United States|United States|United States|United States|United States|United States|United States|United States,7-Jul,16-Oct-07,11-May,11-May,29-Nov-11,Trial stopped due to futility.,,6,1213,Actual,1292,Anticipated,TRUE,,1213,1213,1017,0.94,234,1213,1,23168823,1 - Scientific Data
NCT00546260,1,Safety and Efficacy Study of Adjunctive Antiplatelet Therapy Prior to Primary PCI in Patients With STEMI,Treatment,Parallel Assignment,Double Blind,Randomized,Drug|Drug,Phase 2,Heart and Blood Diseases|All Conditions|Symptoms and General Pathology,INDUSTRY,,Multiple,United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|Canada|Canada|Canada|Canada|Canada|Canada|Canada|Canada|Canada|Canada|Canada|Canada|Canada|Canada|Canada|Canada|Canada|Canada,7-Nov,16-Oct-07,8-Jul,8-Jul,23-Nov-10,Administrative reasons.,,4,70,Actual,220,Anticipated,TRUE,,70,70,70,0.32,10,70,1,19958867,2 - No Scientific Data
NCT00546364,1,Randomized Study Evaluating Ixabepilone Plus Capecitabine or Docetaxel Plus Capecitabine in Metastatic Breast Cancer,Treatment,Parallel Assignment,Open Label,Randomized,Drug|Drug|Drug,Phase 2,Cancers and Other Neoplasms|Skin and Connective Tissue Diseases|All Conditions,INDUSTRY,,Multiple,United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States,8-Feb,17-Oct-07,10-Mar,10-Mar,6-May-11,Slow Accrual,,2,62,Actual,150,Anticipated,TRUE,,62,62,62,0.41,17,62,0,,2 - No Scientific Data
NCT00547703,1,Effect of Nortriptyline on Abdominal Pain/Discomfort and Quality of Life in Patients With Nonulcer Dyspepsia,Treatment,Parallel Assignment,Double Blind,Randomized,Drug|Drug,,Nervous System Diseases|Symptoms and General Pathology|All Conditions|Digestive System Diseases|Behaviors and Mental Disorders,OTHER,,Single,United States,8-Feb,19-Oct-07,10-Apr,10-Jun,20-Feb-12,Not enough participants - only 5 since the study started,,2,5,Actual,72,Anticipated,TRUE,,5,5,4,0.07,0,4,0,,2 - No Scientific Data
NCT00548145,1,The Clinical Study of Pitavastatin Treatment for Group of Mild to Moderate Alzheimer's Disease,Treatment,Parallel Assignment,Open Label,Randomized,Drug|Drug,,Nervous System Diseases|Behaviors and Mental Disorders|All Conditions|Nutritional and Metabolic Diseases|Symptoms and General Pathology|Rare Diseases,OTHER,,Single,Japan,7-Nov,22-Oct-07,11-Oct,12-Mar,28-Dec-11,,,9,38,Actual,50,Anticipated,TRUE,,38,38,33,0.76,0,38,0,,3 - No Reason Provided
NCT00549328,1,Monotherapy Pazopanib in Subjects With Advanced Non-Small Cell Lung Cancer,Treatment,Single Group Assignment,Open Label,Non-Randomized,Drug,Phase 2,Cancers and Other Neoplasms|Respiratory Tract (Lung and Bronchial) Diseases|All Conditions,INDUSTRY,,Multiple,United States|United States|United States|United States|United States|United States|United States|United States|United States|United States,8-Feb,23-Oct-07,9-Apr,9-Apr,22-Dec-09,,,9,14,Actual,40,Anticipated,TRUE,,14,14,0,0.35,1,14,0,,3 - No Reason Provided
NCT00550654,1,Conformal Radiation Therapy in Treating Patients With Metastatic Cancer Outside the Brain,Treatment,Single Group Assignment,Open Label,,Other|Radiation|Radiation|Radiation|Radiation,Phase 2,"Cancers and Other Neoplasms|All Conditions|Urinary Tract, Sexual Organs, and Pregnancy Conditions|Gland and Hormone Related Diseases|Symptoms and General Pathology|Rare Diseases",NIH,,Single,United States,7-Oct,25-Oct-07,10-May,10-May,20-Aug-12,,,9,1,Actual,40,,TRUE,,1,1,0,0.03,0,1,0,,3 - No Reason Provided
NCT00552578,1,Buprenorphine as a Treatment in Opiate Dependent Pain Patients,Treatment,Parallel Assignment,Open Label,Randomized,Drug|Drug,Phase 4,"Muscle, Bone, and Cartilage Diseases|Nervous System Diseases|All Conditions|Symptoms and General Pathology|Behaviors and Mental Disorders|Substance Related Disorders",OTHER,,Single,United States,7-Oct,1-Nov-07,8-Oct,8-Oct,21-Jan-09,Tapering doses protocol arm was not effective for treatment retention outcome.,,6,12,Actual,60,Anticipated,TRUE,,12,12,10,0.2,0,60,1,20959867,1 - Scientific Data
NCT00555009,1,Treatment Of Adult Growth Hormone Deficiency After Traumatic Brain Injury,Treatment,Parallel Assignment,Double Blind,Randomized,Drug|Drug,Phase 4,"Muscle, Bone, and Cartilage Diseases|Nervous System Diseases|Gland and Hormone Related Diseases|All Conditions|Wounds and Injuries|Diseases and Abnormalities at or before Birth|Rare Diseases",INDUSTRY,,Multiple,France|France|Italy|Italy|Netherlands|Spain|Sweden|Sweden|United Kingdom,8-Mar,24-Oct-07,9-Jan,9-Jan,22-Dec-09,See termination reason in detailed description.,The study was terminated on 15-Dec-2008 due to an inability to recruit the protocol specified patient population. The study has not been terminated due to any safety concerns.,2,10,Actual,120,Anticipated,TRUE,,10,10,0,0.08,0,10,0,,2 - No Scientific Data
NCT00555321,1,Belatacept in Liver Transplant Recipients,Prevention,Parallel Assignment,Open Label,Randomized,Drug|Drug|Drug|Drug|Drug,Phase 2,,INDUSTRY,,Multiple,United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|Argentina|Austria|Brazil|Brazil|Brazil|Canada|Canada|France|France|France|France|France|France|Germany|Germany|Germany|Germany|Germany|Italy|Italy|Italy|Italy|Spain,8-Jan,7-Nov-07,10-Mar,11-Jun,17-Sep-12,,,9,260,Actual,250,Anticipated,TRUE,,260,260,250,1.04,107,145,0,,3 - No Reason Provided
NCT00556972,1,A Feasibility Study of a Fecal Incontinence Management System for Medical Use,Supportive Care,Single Group Assignment,Open Label,,Device,Phase 1|Phase 2,Digestive System Diseases|All Conditions,INDUSTRY,,Single,United States,8-Jan,9-Nov-07,8-Apr,8-Apr,2-Aug-11,Due to numerous delays in study start-up process...,,4,4,Actual,12,Anticipated,TRUE,,4,4,4,0.33,0,4,0,,2 - No Scientific Data
NCT00557622,1,Clinical Evaluation of BRL29060A (Paroxetine Hydrochloride Hydrate) in Posttraumatic Stress Disorder (PTSD),Treatment,Parallel Assignment,Single Blind,Randomized,Drug|Other,Phase 2,Behaviors and Mental Disorders|All Conditions,INDUSTRY,,Multiple,Japan|Japan|Japan,8-Jan,12-Nov-07,8-Dec,8-Dec,2-Sep-09,difficulty in achieving target enrollment numbers,,2,5,Actual,30,Anticipated,TRUE,,5,5,2,0.17,0,3,0,,2 - No Scientific Data
NCT00558558,1,Haelan and Nutrition in Cancer Patients,Treatment,Single Group Assignment,Open Label,Non-Randomized,Dietary Supplement,Phase 2,Symptoms and General Pathology|All Conditions,OTHER,,Single,United States,7-Oct,13-Nov-07,9-Aug,9-Aug,2-Sep-11,Study terminated due to low recruitment.,,2,6,Actual,32,Anticipated,TRUE,,6,6,0,0.19,1,4,0,,2 - No Scientific Data
NCT00558636,1,A Trial Comparing Safety and Efficacy of Carboplatin and Paclitaxel Plus or Minus Sorafenib (BAY43-9006) in Chemonaive Patients With Stage IIIB-IV Non-Small Cell Lung Cancer (NSCLC),Treatment,Parallel Assignment,Double Blind,Randomized,Drug|Drug,Phase 3,Cancers and Other Neoplasms|Respiratory Tract (Lung and Bronchial) Diseases|All Conditions,INDUSTRY,,Multiple,"China|China|China|China|China|China|China|China|China|China|China|China|India|India|Korea, Republic of|Korea, Republic of|Singapore|Singapore|Taiwan|Taiwan|Thailand|Thailand",7-Sep,9-Nov-07,8-May,8-May,13-Nov-09,Terminated early when the results from Study NCT00300885 showed an overall lack of efficacy in NSCLC and increased mortality in subjects with squamous subtype.,,7,91,Actual,300,Anticipated,TRUE,,91,91,91,0.3,14,91,0,,2 - No Scientific Data
NCT00560352,1,Safety Study of Dasatinib With Bortezomib (Velcade??) and Dexamethasone for Multiple Myeloma,Treatment,Single Group Assignment,Open Label,Non-Randomized,Drug|Drug|Drug,Phase 1,Cancers and Other Neoplasms|Heart and Blood Diseases|Blood and Lymph Conditions|Immune System Diseases|All Conditions|Rare Diseases,INDUSTRY,,Multiple,United States|United States|France|France|Italy|Italy|Spain,8-Feb,16-Nov-07,11-Feb,11-Feb,2-Apr-12,,,9,16,Actual,40,Anticipated,FALSE,E,14,16,14,0.4,9,14,0,,3 - No Reason Provided
NCT00561912,1,Low Dose Decitabine + Interferon Alfa-2b in Advanced Renal Cell Carcinoma,Treatment,Single Group Assignment,Open Label,,Drug|Drug,Phase 2,"Cancers and Other Neoplasms|All Conditions|Urinary Tract, Sexual Organs, and Pregnancy Conditions|Rare Diseases",OTHER,,Single,United States,7-Oct,20-Nov-07,9-Nov,9-Nov,22-Nov-11,Low accrual.,,2,2,Actual,60,Anticipated,TRUE,,2,2,0,0.03,0,1,0,,2 - No Scientific Data
NCT00566462,1,Assessment of Perampanel (E2007) on Synaptic Dopamine in Mild-moderate PD Patients: A Pilot Study With [^123I]-IBZM SPECT,Treatment,Parallel Assignment,Double Blind,Randomized,Drug|Drug,Phase 2,Nervous System Diseases|All Conditions|Cancers and Other Neoplasms|Skin and Connective Tissue Diseases,INDUSTRY,,Single,United States,7-Oct,29-Nov-07,8-Apr,8-Apr,20-Nov-12,Study stopped due to lack of efficacy.,,6,1,Actual,16,Anticipated,TRUE,,1,1,1,0.06,0,1,0,,1 - Scientific Data
NCT00566579,1,Cryotherapy for Human Papillomavirus Clearance in Biopsy-confirmed Cervical Low-grade Squamous Intraepithelial Lesions,Treatment,Parallel Assignment,Single Blind,Randomized,Procedure,,"Cancers and Other Neoplasms|All Conditions|Urinary Tract, Sexual Organs, and Pregnancy Conditions|Rare Diseases",OTHER,,Single,Thailand,7-Dec,30-Nov-07,9-Mar,9-Mar,1-Jun-10,Lack of additional funding,,1,100,Actual,300,Anticipated,FALSE,F,60,60,60,0.2,0,60,1,19892345,2 - No Scientific Data
NCT00568061,1,Nitric Oxide in Myocardial Infarction Size,Treatment,Single Group Assignment,Double Blind,Randomized,Drug,Phase 2,Respiratory Tract (Lung and Bronchial) Diseases|Symptoms and General Pathology|All Conditions|Heart and Blood Diseases,INDUSTRY,,Multiple,United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|Belgium|Canada|Canada,6-Jun,3-Dec-07,8-Jun,8-Jun,3-Aug-10,Slow Enrollment,,2,29,Actual,200,Anticipated,TRUE,,29,29,29,0.15,2,29,0,,2 - No Scientific Data
NCT00568451,1,Paclitaxel and Carboplatin or Temozolomide in Treating Patients With Stage IV Melanoma,Treatment,Parallel Assignment,Open Label,Non-Randomized,Drug|Drug|Drug,Phase 2,Cancers and Other Neoplasms|All Conditions|Rare Diseases,OTHER,,Single,United States,6-Jun,5-Dec-07,9-May,11-Dec,1-Nov-11,Slow accrual.,,2,12,Actual,192,,FALSE,E,11,12,11,0.06,1,11,0,,2 - No Scientific Data
NCT00572260,1,A Pilot Study of Daptomycin for Antimicrobial Prophylaxis,,Single Group Assignment,Open Label,,Drug,Phase 4,,OTHER,,Single,United States,8-Jan,12-Dec-07,8-Sep,8-Sep,29-Mar-11,Study closed. PI left the institution.,,4,11,Actual,200,Anticipated,TRUE,,11,11,0,0.06,0,11,0,,2 - No Scientific Data
NCT00573391,1,Study of Multiple Myeloma Patients Relapsing or Progressing After Autologous Transplantation on Total Therapy 2,Treatment,Parallel Assignment,Open Label,Non-Randomized,Drug|Drug,Phase 3,Cancers and Other Neoplasms|Heart and Blood Diseases|Blood and Lymph Conditions|Immune System Diseases|All Conditions|Rare Diseases,OTHER,,Single,United States,6-Aug,12-Dec-07,8-Jul,8-Jul,15-Apr-11,low accrual,,2,5,Actual,294,Anticipated,TRUE,,5,5,0,0.02,2,10,0,,2 - No Scientific Data
NCT00573937,1,Methadone Versus Morphine for Cancer-Related Pain,Treatment,Parallel Assignment,Double Blind,Randomized,Drug|Drug,Phase 2,Nervous System Diseases|Symptoms and General Pathology|All Conditions,OTHER,,Single,United States,7-Aug,12-Dec-07,9-Apr,9-Apr,4-Oct-10,Slow accrual.,,2,1,Actual,160,Anticipated,TRUE,,1,1,1,0.01,0,1,0,,2 - No Scientific Data
NCT00574080,1,UARK 2006-15: A Study of Tandem Transplants With or Without Bortezomib and Thalidomide,Treatment,Parallel Assignment,Open Label,Randomized,Drug|Drug,Phase 3,Cancers and Other Neoplasms|Heart and Blood Diseases|Blood and Lymph Conditions|Immune System Diseases|All Conditions|Rare Diseases,OTHER,,Single,United States,6-Jul,12-Dec-07,11-Mar,11-Mar,4-May-11,low accrual,,2,20,Actual,252,Anticipated,TRUE,,20,20,0,0.08,7,20,0,,2 - No Scientific Data
NCT00574275,1,Aflibercept Compared to Placebo in Term of Efficacy in Patients Treated With Gemcitabine for Metastatic Pancreatic Cancer,Treatment,Parallel Assignment,Double Blind,Randomized,Drug|Drug|Drug,Phase 3,Cancers and Other Neoplasms|Digestive System Diseases|Gland and Hormone Related Diseases|All Conditions|Rare Diseases,INDUSTRY,,Multiple,United States|Argentina|Austria|Belgium|Bulgaria|Canada|Chile|Colombia|Cyprus|Czech Republic|France|Germany|Greece|Hungary|India|Italy|Mexico|Poland|Puerto Rico|Romania|Russian Federation|Slovakia|Spain|Switzerland,7-Dec,14-Dec-07,9-Oct,10-Nov,17-Aug-12,Data Monitoring Committee concluded after a planned interim analysis that aflibercept added to gemcitabine would be unable to demonstrate improved survival,,6,546,Actual,630,Anticipated,TRUE,,546,546,546,0.87,270,541,1,23642329,1 - Scientific Data
NCT00575016,1,Safety and Efficacy Study of Botulinum Toxin Type A for the Treatment of Neurogenic Overactive Bladder,Treatment,Parallel Assignment,Double Blind,Randomized,Biological|Biological|Biological|Biological,Phase 2,"Urinary Tract, Sexual Organs, and Pregnancy Conditions|Symptoms and General Pathology|All Conditions",INDUSTRY,,Multiple,Egypt|Greece|India|Lebanon|Serbia|Turkey,7-Dec,13-Dec-07,10-Feb,10-Jul,9-Sep-11,The study was terminated early due to enrollment challenges.,,2,74,Actual,160,Anticipated,TRUE,,74,74,73,0.46,12,73,1,23160758,2 - No Scientific Data
NCT00577356,1,Docetaxel and Immunotherapy Prior to Prostatectomy for High-Risk Prostate Cancer,Treatment,Single Group Assignment,Open Label,,Drug|Biological,Phase 2,"Cancers and Other Neoplasms|Urinary Tract, Sexual Organs, and Pregnancy Conditions|All Conditions",OTHER,,Single,United States,8-Feb,18-Dec-07,8-Sep,8-Sep,13-Sep-10,"Safety reasons, though no safety issues arose.",,7,6,Actual,30,Anticipated,TRUE,,6,6,0,0.2,0,6,1,23740935,2 - No Scientific Data
NCT00577395,1,Bone Microarchitecture in Osteopenic Postmenopausal Women,Treatment,Parallel Assignment,Double Blind,Randomized,Drug|Drug,Phase 4,"Muscle, Bone, and Cartilage Diseases|All Conditions",INDUSTRY,,Multiple,United States|United States|United States|Argentina,8-Jul,19-Dec-07,9-Feb,9-Feb,18-Nov-09,,,9,13,Actual,134,Anticipated,TRUE,,13,13,0,0.1,0,13,0,,3 - No Reason Provided
NCT00577772,1,Transit Time and Bacterial Overgrowth Using SmartPill Capsule,Diagnostic,Parallel Assignment,Open Label,Non-Randomized,Drug|Device|Procedure,,Digestive System Diseases|All Conditions,OTHER,,Single,United States,7-Nov,17-Dec-07,10-Jul,10-Jul,30-Aug-12,Enrollment Goal Not Met,,2,17,Actual,20,Anticipated,TRUE,,17,17,0,0.85,0,17,0,,2 - No Scientific Data
NCT00579059,0,Maxim?? Knee Pop-Top?? Tibia vs. Regular Maxim?? Knee Tibia,Treatment,Parallel Assignment,Open Label,Randomized,Device|Device,,"Muscle, Bone, and Cartilage Diseases|All Conditions|Skin and Connective Tissue Diseases|Immune System Diseases",INDUSTRY,,Single,United States,4-May,17-Dec-07,7-Nov,7-Nov,20-May-09,The study sponsor canceled the study.,,8,31,Actual,200,Actual,TRUE,,31,31,11,0.16,0,31,0,,2 - No Scientific Data
NCT00579111,1,Reduced Intensity Preparative Regimen Followed by Stem Cell Transplant (FAB),Treatment,Parallel Assignment,Open Label,Non-Randomized,Drug|Drug|Drug|Procedure|Drug,Phase 1|Phase 2,Cancers and Other Neoplasms|All Conditions|Blood and Lymph Conditions|Immune System Diseases|Heart and Blood Diseases|Rare Diseases,OTHER,,Multiple,United States|United States,7-Jun,19-Dec-07,9-Feb,10-Oct,3-Jul-12,slow accrual,,2,4,Actual,53,Anticipated,TRUE,,4,4,4,0.08,2,4,0,,2 - No Scientific Data
NCT00581061,1,Study to Determine Effects of Vesicare on Return to Continence Post- Radical Prostatectomy,Treatment,Single Group Assignment,Open Label,Non-Randomized,Drug,,"Urinary Tract, Sexual Organs, and Pregnancy Conditions|Symptoms and General Pathology|All Conditions",OTHER,,Single,United States,8-Jun,21-Dec-07,9-Feb,10-Feb,11-Mar-10,Study subjects were not compliant with study protocols.,,4,13,Actual,25,Anticipated,TRUE,,13,13,10,0.52,0,13,0,,2 - No Scientific Data
